mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0.08084704875946044,0.006700123449856377,0.0039387702941894535,0.00036282926337546977,1.0,0.1,rbf,"{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}",0.9523809523809523,0.8636363636363636,0.9714285714285714,0.8888888888888888,1.0,0.8421052631578947,0.975609756097561,0.975609756097561,0.9565217391304348,0.9361702127659575,0.9362351503584186,0.050448168338945554,1
0.10968887805938721,0.006742737637461288,0.00487067699432373,0.0004667028850955698,0.1,1,rbf,"{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}",0.9523809523809523,0.9047619047619048,0.9411764705882353,0.8571428571428571,1.0,0.9142857142857143,0.95,0.975609756097561,0.9333333333333333,0.9302325581395349,0.9358923546730094,0.037231842052340994,2
0.09462604522705079,0.004462153829698493,0.0030016660690307616,0.00048000767530218306,10.0,0.01,rbf,"{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}",0.9523809523809523,0.8636363636363636,0.9444444444444444,0.8888888888888888,1.0,0.8421052631578947,0.975609756097561,0.975609756097561,0.9565217391304348,0.9565217391304348,0.9355718902964536,0.04968514349212616,3
0.07790071964263916,0.005742672713309098,0.003878164291381836,0.00048595854610766916,1.0,auto,rbf,"{'C': 1, 'gamma': 'auto', 'kernel': 'rbf'}",0.9523809523809523,0.8636363636363636,0.9714285714285714,0.8888888888888888,1.0,0.8421052631578947,0.975609756097561,0.975609756097561,0.9565217391304348,0.9090909090909091,0.9335272199909136,0.05110152016906267,4
0.11873090267181396,0.007756505145855429,0.003610539436340332,0.0007388594078224858,100.0,0.001,rbf,"{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}",0.9523809523809523,0.8636363636363636,0.9444444444444444,0.8888888888888888,1.0,0.8421052631578947,0.975609756097561,0.9523809523809523,0.9565217391304348,0.9565217391304348,0.9332490099247928,0.048282181989191666,5
0.08663308620452881,0.006486867792074475,0.004134917259216308,0.0009790832905122162,1.0,1,rbf,"{'C': 1, 'gamma': 1, 'kernel': 'rbf'}",0.9523809523809523,0.8837209302325582,0.9714285714285714,0.8571428571428571,0.9714285714285714,0.9142857142857143,0.975609756097561,0.9302325581395349,0.9166666666666666,0.9333333333333333,0.930622991113632,0.03727697154308345,6
0.08391771316528321,0.008568578256107929,0.0028690099716186523,0.000980979252689179,10.0,auto,rbf,"{'C': 10, 'gamma': 'auto', 'kernel': 'rbf'}",0.9523809523809523,0.8636363636363636,0.9714285714285714,0.8888888888888888,0.9714285714285714,0.8421052631578947,0.975609756097561,0.9302325581395349,0.9166666666666666,0.9565217391304348,0.926889933095544,0.04540711369464803,7
0.0934145212173462,0.011221243676365253,0.003062939643859863,0.000572995924630963,100.0,0.01,rbf,"{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}",0.9523809523809523,0.8636363636363636,0.9714285714285714,0.8888888888888888,0.9714285714285714,0.8421052631578947,0.975609756097561,0.9302325581395349,0.9166666666666666,0.9565217391304348,0.926889933095544,0.04540711369464803,7
0.08122913837432862,0.01096722623730693,0.002754878997802734,0.00047883379624092813,100.0,auto,rbf,"{'C': 100, 'gamma': 'auto', 'kernel': 'rbf'}",0.9767441860465116,0.8260869565217391,0.9714285714285714,0.8292682926829268,0.9714285714285714,0.8648648648648649,0.975609756097561,0.9302325581395349,0.9166666666666666,0.9565217391304348,0.9218852163007384,0.0575395885433368,9
0.27023293972015383,0.011559390282454654,0.010547852516174317,0.0005758365309013412,0.01,1,rbf,"{'C': 0.01, 'gamma': 1, 'kernel': 'rbf'}",0.9523809523809523,0.926829268292683,0.9696969696969697,0.8571428571428571,0.9375,0.9375,0.8648648648648649,0.975609756097561,0.9302325581395349,0.85,0.9201757226615422,0.043892139101297786,10
