instance_id,pose_label,left_finger_state_0,left_finger_state_1,left_finger_state_2,left_finger_state_3,left_finger_state_4,right_finger_state_0,right_finger_state_1,right_finger_state_2,right_finger_state_3,right_finger_state_4,motion_x_start,motion_y_start,motion_x_mid,motion_y_mid,motion_x_end,motion_y_end,main_axis_x,main_axis_y,delta_x,delta_y
1,end,0,0,0,0,0,0,0,1,1,0,0.6859923005104065,0.890931099653244,0.6248273054758707,0.6934260328610738,0.6103478074073792,0.3730902373790741,0,1,0.0,-0.5178408622741699
2,home,0,0,0,0,0,1,0,0,0,0,0.6099422872066498,0.4067267179489136,0.6091428796450297,0.4026308755079905,0.4468958973884582,0.4077417403459549,1,0,-0.1630463898181915,0.0
3,next_slide,0,0,0,0,0,0,1,1,0,0,0.5435231626033783,0.3307572603225708,0.7738677660624186,0.3399527768294016,0.7850414514541626,0.3339978903532028,1,0,0.2415182888507843,0.0
4,previous_slide,0,0,0,0,0,0,1,1,0,0,0.7460643947124481,0.4066257923841476,0.7413022915522257,0.4009682834148407,0.4475778490304947,0.3326689600944519,1,0,-0.2984865456819534,0.0
5,rotate_down,0,0,0,0,0,1,1,0,0,0,0.6230436265468597,0.358715683221817,0.6270739237467448,0.4899102946122487,0.6211665272712708,0.7144860625267029,0,1,0.0,0.3557703793048858
6,rotate_left,0,0,0,0,0,1,1,0,0,0,0.7400393784046173,0.5124571323394775,0.6120804150899252,0.5130280256271362,0.4878803193569183,0.4879027903079986,1,0,-0.252159059047699,0.0
7,rotate_right,0,0,0,0,0,1,1,0,0,0,0.5436260402202606,0.3698143064975738,0.6407623092333475,0.3906450966993968,0.7713424861431122,0.4017906188964844,1,0,0.2277164459228515,0.0
8,rotate_up,0,0,0,0,0,1,1,0,0,0,0.6699936091899872,0.5953134894371033,0.6999686360359192,0.3257895012696584,0.688072681427002,0.2499276250600814,0,1,0.0,-0.3453858643770218
9,zoom_in,0,0,0,0,0,1,1,1,0,0,0.5705963373184204,0.7145761251449585,0.5784282485644022,0.5471381445725759,0.5705404877662659,0.3562610000371933,0,1,0.0,-0.3583151251077652
10,zoom_out,0,0,0,0,0,1,1,1,0,0,0.6239741742610931,0.3718985319137573,0.6063612302144369,0.5896863540013632,0.6038519740104675,0.7129431068897247,0,1,0.0,0.3410445749759674
