pose_label,gesture_type,test_samples,positive_samples,imbalance_ratio,search_strategy,best_kernel,best_C,best_gamma,cv_f1_score,test_accuracy,test_precision,test_recall,test_f1_score
end,STATIC,584,30,1:19.5,static_optimized,rbf,0.1,0.1,0.9562490873195543,0.9982876712328768,0.967741935483871,1.0,0.9836065573770492
home,STATIC,584,45,1:13.0,static_optimized,rbf,0.1,1,0.9766039886039888,0.9965753424657534,0.9777777777777777,0.9777777777777777,0.9777777777777777
next_slide,DYNAMIC,584,57,1:10.2,imbalanced_focused,rbf,0.1,auto,0.9469524640746751,0.9914383561643836,0.9814814814814815,0.9298245614035088,0.954954954954955
previous_slide,DYNAMIC,584,58,1:10.1,imbalanced_focused,rbf,10.0,auto,0.9670711673807648,0.9914383561643836,0.9344262295081968,0.9827586206896551,0.957983193277311
rotate_down,DYNAMIC,584,67,1:8.7,imbalanced_focused,rbf,1.0,0.1,0.9362351503584186,0.9811643835616438,0.9242424242424242,0.9104477611940298,0.9172932330827067
rotate_left,DYNAMIC,584,65,1:9.0,imbalanced_focused,rbf,0.1,1,0.9291047640414163,0.9863013698630136,0.9253731343283582,0.9538461538461539,0.9393939393939394
rotate_right,DYNAMIC,584,65,1:9.0,imbalanced_focused,rbf,10.0,0.01,0.9522850682055124,0.9897260273972602,0.927536231884058,0.9846153846153847,0.9552238805970149
rotate_up,DYNAMIC,584,66,1:8.8,imbalanced_focused,rbf,0.1,1,0.9509826174973801,0.988013698630137,0.9682539682539683,0.9242424242424242,0.9457364341085271
zoom_in,DYNAMIC,584,65,1:9.0,imbalanced_focused,rbf,10.0,1,0.9766104096591903,0.9863013698630136,0.9014084507042254,0.9846153846153847,0.9411764705882353
zoom_out,DYNAMIC,584,66,1:8.8,imbalanced_focused,rbf,0.01,1,0.9748153211627553,0.9863013698630136,1.0,0.8787878787878788,0.9354838709677419
