instance_id,pose_label,left_finger_state_0,left_finger_state_1,left_finger_state_2,left_finger_state_3,left_finger_state_4,right_finger_state_0,right_finger_state_1,right_finger_state_2,right_finger_state_3,right_finger_state_4,main_axis_x,main_axis_y,delta_x,delta_y,accuracy
1,end,0,0,0,0,0,0,0,0,0,1,1,0,0.002003788948059,0.0,0.9655172413793104
2,end_present,0,0,0,0,0,1,1,1,1,1,1,0,-0.1138931661844253,0.0,0.9210526315789472
3,home,0,0,0,0,0,1,0,0,0,0,1,0,-0.0021259486675262,0.0,0.9555555555555556
4,next_slide,0,0,0,0,0,0,1,1,0,0,1,0,0.1129171848297119,0.0,0.954954954954955
5,previous_slide,0,0,0,0,0,0,1,1,0,0,1,0,-0.1216538846492767,0.0,0.9557522123893806
6,rotate_down,0,0,0,0,0,1,1,0,0,0,0,1,0.0,0.1859845370054245,0.921875
7,rotate_left,0,0,0,0,0,1,1,0,0,0,1,0,-0.1174891293048858,0.0,0.9384615384615383
8,rotate_right,0,0,0,0,0,1,1,0,0,0,1,0,0.1095345169305801,0.0,0.9242424242424242
9,rotate_up,0,0,0,0,0,1,1,0,0,0,0,1,0.0,-0.1658543795347213,0.9696969696969696
10,start_present,0,0,0,0,0,1,1,1,1,1,1,0,0.1136075258255004,0.0,0.9473684210526316
11,zoom_in,0,0,0,0,0,1,1,1,1,0,0,1,0.0,-0.3058387926017109,0.990990990990991
12,zoom_in_slide,0,0,0,0,0,0,1,1,0,0,0,1,0.0,-0.1772576570510864,0.972972972972973
13,zoom_out,0,0,0,0,0,1,1,1,0,0,0,1,0.0,0.1839362382888794,0.9402985074626866
14,zoom_out_slide,0,0,0,0,0,0,1,1,0,0,0,1,0.0,0.2015649229288101,0.9866666666666668
