pose_label,gesture_type,test_samples,positive_samples,imbalance_ratio,search_strategy,best_kernel,best_C,best_gamma,cv_f1_score,test_accuracy,test_precision,test_recall,test_f1_score
end,STATIC,728,30,1:24.3,static_optimized,rbf,0.1,1,0.9710913312693498,0.9972527472527473,1.0,0.9333333333333333,0.9655172413793104
end_present,DYNAMIC,728,38,1:19.2,imbalanced_focused,rbf,0.1,1,0.9723076923076924,0.9917582417582418,0.9210526315789473,0.9210526315789473,0.9210526315789473
home,STATIC,728,45,1:16.2,static_optimized,rbf,100.0,1,0.9734611314611314,0.9945054945054945,0.9555555555555556,0.9555555555555556,0.9555555555555556
next_slide,DYNAMIC,728,57,1:12.8,imbalanced_focused,rbf,0.1,0.1,0.9389694484832056,0.9931318681318682,0.9814814814814815,0.9298245614035088,0.954954954954955
previous_slide,DYNAMIC,728,58,1:12.6,imbalanced_focused,rbf,0.1,auto,0.967012987012987,0.9931318681318682,0.9818181818181818,0.9310344827586207,0.9557522123893806
rotate_down,DYNAMIC,728,67,1:10.9,imbalanced_focused,rbf,0.1,1,0.9357024658565095,0.9862637362637363,0.9672131147540983,0.8805970149253731,0.921875
rotate_left,DYNAMIC,728,65,1:11.2,imbalanced_focused,rbf,0.1,1,0.9350618965956701,0.989010989010989,0.9384615384615385,0.9384615384615385,0.9384615384615385
rotate_right,DYNAMIC,728,65,1:11.2,imbalanced_focused,rbf,0.1,1,0.9260517146524849,0.9862637362637363,0.9104477611940298,0.9384615384615385,0.9242424242424242
rotate_up,DYNAMIC,728,66,1:11.0,imbalanced_focused,rbf,0.1,1,0.9415030789643792,0.9945054945054945,0.9696969696969697,0.9696969696969697,0.9696969696969697
start_present,DYNAMIC,728,39,1:18.7,imbalanced_focused,rbf,0.01,1,0.9638612836438923,0.9945054945054945,0.972972972972973,0.9230769230769231,0.9473684210526315
zoom_in,DYNAMIC,728,56,1:13.0,imbalanced_focused,rbf,100.0,1,0.9553414327607876,0.9986263736263736,1.0,0.9821428571428571,0.990990990990991
zoom_in_slide,DYNAMIC,728,38,1:19.2,imbalanced_focused,rbf,0.1,1,0.9333014811275682,0.9972527472527473,1.0,0.9473684210526315,0.972972972972973
zoom_out,DYNAMIC,728,66,1:11.0,imbalanced_focused,rbf,1.0,1,0.9849807445442875,0.989010989010989,0.9264705882352942,0.9545454545454546,0.9402985074626866
zoom_out_slide,DYNAMIC,728,38,1:19.2,imbalanced_focused,rbf,0.1,1,0.938220716481586,0.9986263736263736,1.0,0.9736842105263158,0.9866666666666667
