mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0.07819371223449707,0.01235223392934918,0.00543968677520752,0.0016556733155206642,0.1,1,rbf,"{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}",0.9629629629629629,0.96,0.896551724137931,1.0,0.9090909090909091,1.0,0.9166666666666666,0.9,0.8571428571428571,0.96,0.9362415120001326,0.044987676635600174,1
0.05166659355163574,0.006832915462086223,0.004021573066711426,0.0007064183662584525,1.0,0.1,rbf,"{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}",0.9629629629629629,0.96,0.896551724137931,1.0,0.9090909090909091,1.0,0.9166666666666666,0.9,0.8571428571428571,0.96,0.9362415120001326,0.044987676635600174,1
0.05325777530670166,0.004186868993508681,0.00384213924407959,0.000531482838245286,1.0,auto,rbf,"{'C': 1, 'gamma': 'auto', 'kernel': 'rbf'}",0.9629629629629629,0.96,0.896551724137931,1.0,0.8695652173913043,1.0,0.9166666666666666,0.9,0.8571428571428571,0.96,0.9322889428301722,0.04877628059281373,3
0.2170088291168213,0.0029102577545148107,0.010372304916381836,0.0006042703549314243,0.01,1,rbf,"{'C': 0.01, 'gamma': 1, 'kernel': 'rbf'}",0.9629629629629629,0.96,0.896551724137931,0.9523809523809523,0.9090909090909091,1.0,0.8695652173913043,0.9,0.8571428571428571,0.96,0.9267694623106916,0.04427143963574239,4
0.03813581466674805,0.002482039305219517,0.0033376455307006837,0.0005150281641157702,10.0,auto,rbf,"{'C': 10, 'gamma': 'auto', 'kernel': 'rbf'}",0.9285714285714286,0.9230769230769231,0.8387096774193549,1.0,0.9166666666666666,0.96,0.96,0.9523809523809523,0.8571428571428571,0.9230769230769231,0.9259625428335105,0.04577735168204955,5
0.047686529159545896,0.011286326600516424,0.004317331314086914,0.0011427827632579863,10.0,0.1,rbf,"{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}",0.9285714285714286,0.9230769230769231,0.8387096774193549,1.0,0.9166666666666666,0.96,0.96,0.9523809523809523,0.8571428571428571,0.9230769230769231,0.9259625428335105,0.04577735168204955,5
0.08248991966247558,0.017313563350656327,0.0055542469024658205,0.0016463906992102047,10.0,0.01,rbf,"{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}",0.9629629629629629,0.9230769230769231,0.896551724137931,1.0,0.8695652173913043,0.96,0.9166666666666666,0.9,0.8571428571428571,0.96,0.9245966351378645,0.04324304979211824,7
0.07455830574035645,0.009544225135896027,0.003910160064697266,0.0004251851378607804,100.0,0.001,rbf,"{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}",0.9629629629629629,0.9230769230769231,0.896551724137931,1.0,0.8695652173913043,0.96,0.9166666666666666,0.9,0.8571428571428571,0.96,0.9245966351378645,0.04324304979211824,7
0.05814783573150635,0.0077600505943667,0.00428006649017334,0.000660722912868064,1.0,1,rbf,"{'C': 1, 'gamma': 1, 'kernel': 'rbf'}",0.896551724137931,0.8888888888888888,0.8666666666666667,1.0,0.9166666666666666,0.96,0.96,0.9523809523809523,0.8571428571428571,0.9230769230769231,0.9221374678960886,0.04351620925797779,9
0.05544803142547607,0.00954207755771593,0.003619861602783203,0.0006627626783757156,100.0,0.01,rbf,"{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}",0.9285714285714286,0.8571428571428571,0.8387096774193549,1.0,0.88,0.96,0.96,0.9523809523809523,0.8571428571428571,0.8888888888888888,0.9122836661546339,0.052158063596035614,10
0.06523857116699219,0.013907190537117479,0.004436016082763672,0.0009036625137629715,100.0,auto,rbf,"{'C': 100, 'gamma': 'auto', 'kernel': 'rbf'}",0.9285714285714286,0.8888888888888888,0.8387096774193549,1.0,0.9166666666666666,0.8888888888888888,0.96,0.9090909090909091,0.8571428571428571,0.9230769230769231,0.9111036239745918,0.04462795153002225,11
0.05657515525817871,0.005958194176507854,0.003193521499633789,0.00044202845973599327,100.0,0.1,rbf,"{'C': 100, 'gamma': 0.1, 'kernel': 'rbf'}",0.896551724137931,0.8888888888888888,0.8666666666666667,1.0,0.8461538461538461,0.8888888888888888,0.96,0.9090909090909091,0.8571428571428571,0.9230769230769231,0.9036460704046911,0.04493140214651434,12
0.047832608222961426,0.006229445199617587,0.0030046701431274414,0.00045309199066727735,100.0,1,rbf,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.8666666666666667,0.9230769230769231,0.8666666666666667,0.9565217391304348,0.8333333333333334,0.8888888888888888,0.9230769230769231,0.9090909090909091,0.8571428571428571,0.8888888888888888,0.8913353795962493,0.03513118109771536,13
0.09438066482543946,0.031378216904617715,0.00859086513519287,0.004486132967937037,10.0,1,rbf,"{'C': 10, 'gamma': 1, 'kernel': 'rbf'}",0.8666666666666667,0.8888888888888888,0.8666666666666667,1.0,0.8,0.8888888888888888,0.96,0.8695652173913043,0.8571428571428571,0.8888888888888888,0.8886708074534161,0.052604274770528855,14
0.07750849723815918,0.004358337831460945,0.004748845100402832,0.0004194041067166145,0.1,0.1,rbf,"{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}",0.8666666666666667,0.8275862068965517,0.8125,0.9166666666666666,0.8333333333333334,0.8,0.7857142857142857,0.8181818181818182,0.782608695652174,0.8275862068965517,0.8270843880008047,0.03787663021802819,15
0.08609442710876465,0.005314363822303266,0.004894447326660156,0.0008361464100571955,1.0,0.01,rbf,"{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}",0.8387096774193549,0.8275862068965517,0.8125,0.88,0.8333333333333334,0.7741935483870968,0.7857142857142857,0.8181818181818182,0.75,0.8275862068965517,0.8147805076828993,0.03493393318130208,16
0.11904864311218262,0.018001610472177163,0.008064699172973634,0.0019455982507246364,10.0,0.001,rbf,"{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}",0.8387096774193549,0.8275862068965517,0.8125,0.88,0.8,0.7741935483870968,0.7857142857142857,0.8181818181818182,0.75,0.8275862068965517,0.8114471743495659,0.03459326788812313,17
0.08384346961975098,0.0020840810172993987,0.005358433723449707,0.0003209676142453385,0.1,auto,rbf,"{'C': 0.1, 'gamma': 'auto', 'kernel': 'rbf'}",0.8125,0.8275862068965517,0.8125,0.88,0.8,0.75,0.7857142857142857,0.8181818181818182,0.75,0.8275862068965517,0.8064068517689208,0.036549528411512024,18
0.268703031539917,0.005143729090303096,0.01372697353363037,0.0006206208398672756,0.01,0.01,rbf,"{'C': 0.01, 'gamma': 0.01, 'kernel': 'rbf'}",0.4,0.37681159420289856,0.36619718309859156,0.88,0.8695652173913043,0.8333333333333334,0.8333333333333334,0.75,0.6666666666666666,0.35294117647058826,0.6328848504496716,0.21945375135244422,19
0.2219536781311035,0.024137424359707935,0.013119983673095702,0.004298155392324942,0.01,auto,rbf,"{'C': 0.01, 'gamma': 'auto', 'kernel': 'rbf'}",0.6046511627906976,0.6,0.6046511627906976,0.5789473684210527,0.5714285714285714,0.5714285714285714,0.5641025641025641,0.4864864864864865,0.5,0.6,0.568169588744864,0.04020115152046873,20
0.16406097412109374,0.035111341812590915,0.008260679244995118,0.0013859060070281792,0.1,0.01,rbf,"{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}",0.6046511627906976,0.6,0.6046511627906976,0.5789473684210527,0.5714285714285714,0.5714285714285714,0.5641025641025641,0.4864864864864865,0.5,0.6,0.568169588744864,0.04020115152046873,20
0.18226385116577148,0.0021104593244594076,0.009353113174438477,0.001225823757180655,0.01,0.1,rbf,"{'C': 0.01, 'gamma': 0.1, 'kernel': 'rbf'}",0.6046511627906976,0.6,0.6046511627906976,0.5789473684210527,0.5714285714285714,0.5714285714285714,0.5641025641025641,0.4864864864864865,0.5,0.6,0.568169588744864,0.04020115152046873,20
0.13247640132904054,0.0035894111492937963,0.007271456718444824,0.0005028658413075244,1.0,0.001,rbf,"{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}",0.6046511627906976,0.6,0.6046511627906976,0.5789473684210527,0.5714285714285714,0.5714285714285714,0.5641025641025641,0.4864864864864865,0.5,0.6,0.568169588744864,0.04020115152046873,20
0.29022655487060545,0.015733787415167053,0.015741395950317382,0.0023794599325743424,0.1,0.001,rbf,"{'C': 0.1, 'gamma': 0.001, 'kernel': 'rbf'}",0.6046511627906976,0.6,0.6046511627906976,0.5789473684210527,0.5714285714285714,0.42857142857142855,0.41509433962264153,0.4864864864864865,0.5,0.6,0.5389830520111575,0.07108818687426326,24
0.2761704444885254,0.023466901240190255,0.013621044158935548,0.0007754088060239251,0.01,0.001,rbf,"{'C': 0.01, 'gamma': 0.001, 'kernel': 'rbf'}",0.203125,0.203125,0.203125,0.0,0.0,0.0,0.0,0.0,0.0,0.19047619047619047,0.07998511904761904,0.09802259092816516,25
