mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0.039782047271728516,0.004808003682457475,0.002978396415710449,0.0005868778686925912,100.0,0.1,rbf,"{'C': 100, 'gamma': 0.1, 'kernel': 'rbf'}",0.96,0.9230769230769231,0.9629629629629629,1.0,0.9565217391304348,1.0,1.0,0.9565217391304348,0.9565217391304348,1.0,0.9715605103431191,0.02543999540307341,1
0.07010221481323242,0.00928103293858484,0.004172635078430176,0.0005846165233135322,10.0,1,rbf,"{'C': 10, 'gamma': 1, 'kernel': 'rbf'}",0.9166666666666666,0.9230769230769231,1.0,1.0,0.9565217391304348,1.0,1.0,1.0,0.9090909090909091,1.0,0.9705356237964933,0.037861499620722494,2
0.040608692169189456,0.0043660146263986245,0.0039057254791259764,0.0011065436531369373,10.0,auto,rbf,"{'C': 10, 'gamma': 'auto', 'kernel': 'rbf'}",0.96,0.9230769230769231,0.9629629629629629,0.9565217391304348,0.9565217391304348,1.0,1.0,0.9565217391304348,0.9565217391304348,1.0,0.9672126842561626,0.02387521269413822,3
0.03417117595672607,0.0028947681379656747,0.0025513410568237306,0.0005100600777175169,100.0,auto,rbf,"{'C': 100, 'gamma': 'auto', 'kernel': 'rbf'}",0.96,0.9230769230769231,0.9629629629629629,0.9565217391304348,0.9565217391304348,1.0,1.0,0.9565217391304348,0.9565217391304348,1.0,0.9672126842561626,0.02387521269413822,3
0.034716439247131345,0.00568218670452881,0.003344297409057617,0.0008264503535590751,100.0,0.01,rbf,"{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}",0.96,0.9230769230769231,1.0,0.9523809523809523,0.9565217391304348,1.0,1.0,0.9565217391304348,0.9565217391304348,0.96,0.9665023092849179,0.024155451003348514,5
0.08578553199768066,0.025840261921819315,0.007754898071289063,0.007062420592609516,1.0,1,rbf,"{'C': 1, 'gamma': 1, 'kernel': 'rbf'}",0.9166666666666666,0.9230769230769231,1.0,0.9565217391304348,0.9565217391304348,1.0,1.0,1.0,0.9090909090909091,1.0,0.9661877977095369,0.036707131618865727,6
0.03241245746612549,0.0036885277267833852,0.0031367063522338865,0.0007734952716275096,10.0,0.1,rbf,"{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}",0.96,0.9230769230769231,0.9629629629629629,0.9166666666666666,0.9565217391304348,1.0,1.0,0.9565217391304348,0.9565217391304348,1.0,0.9632271770097857,0.028252466650312984,7
0.05071151256561279,0.008345165294182805,0.003508734703063965,0.00045234724230820445,100.0,1,rbf,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.96,0.8888888888888888,1.0,0.9523809523809523,0.9565217391304348,1.0,1.0,0.9565217391304348,0.9090909090909091,1.0,0.9623404228621618,0.037517990821583705,8
0.09676990509033204,0.002248290930671066,0.005181622505187988,0.000573404544550399,0.1,1,rbf,"{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}",0.9166666666666666,0.9230769230769231,1.0,0.9523809523809523,0.9565217391304348,1.0,1.0,1.0,0.9090909090909091,0.96,0.9617737190345885,0.03503072125662953,9
0.07787852287292481,0.002192772503301184,0.004829025268554688,0.0004041049498920909,0.1,0.1,rbf,"{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}",0.96,0.9230769230769231,0.9629629629629629,0.9523809523809523,0.9565217391304348,1.0,0.96,0.9565217391304348,0.9090909090909091,0.96,0.9540555225772618,0.023005883295056914,10
0.08649380207061767,0.016251385799301275,0.005461215972900391,0.0011337110894302973,1.0,0.01,rbf,"{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}",0.96,0.9230769230769231,0.9629629629629629,0.9523809523809523,0.9565217391304348,1.0,0.96,0.9565217391304348,0.9090909090909091,0.96,0.9540555225772618,0.023005883295056914,10
0.059083414077758786,0.01045025267449487,0.0037557363510131838,0.0007578666922444035,10.0,0.01,rbf,"{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}",0.96,0.9230769230769231,0.9629629629629629,0.9523809523809523,0.9565217391304348,1.0,0.96,0.9565217391304348,0.9090909090909091,0.96,0.9540555225772618,0.023005883295056914,10
0.12373049259185791,0.03597018696168707,0.007559418678283691,0.0021585978077600567,10.0,0.001,rbf,"{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}",0.96,0.9230769230769231,0.9629629629629629,0.9523809523809523,0.9565217391304348,1.0,0.96,0.9565217391304348,0.9090909090909091,0.96,0.9540555225772618,0.023005883295056914,10
0.05474717617034912,0.0029733066599338808,0.003332781791687012,0.0003825856375100397,100.0,0.001,rbf,"{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}",0.96,0.9230769230769231,0.9629629629629629,0.9523809523809523,0.9565217391304348,1.0,0.96,0.9565217391304348,0.9090909090909091,0.96,0.9540555225772618,0.023005883295056914,10
