mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0.008222293853759766,0.0008864231092566559,0.000991487503051758,0.0004032682805216832,0.001,1,poly,"{'C': 0.001, 'gamma': 1, 'kernel': 'poly'}",1.0,1.0,1.0,0.95,1.0,1.0,0.9,1.0,1.0,1.0,0.985,0.03201562118716425,1
0.010011601448059081,0.0026962168869739717,0.0007888078689575195,0.0003960913267418097,0.001,10,poly,"{'C': 0.001, 'gamma': 10, 'kernel': 'poly'}",1.0,1.0,1.0,0.95,1.0,1.0,0.9,1.0,1.0,1.0,0.985,0.03201562118716425,1
0.003648686408996582,0.00031852668720046333,0.0007005929946899414,0.00039982906962963873,0.01,1,poly,"{'C': 0.01, 'gamma': 1, 'kernel': 'poly'}",1.0,1.0,1.0,0.95,1.0,1.0,0.9,1.0,1.0,1.0,0.985,0.03201562118716425,1
0.03714053630828858,0.01571877395501505,0.0007599115371704102,0.0005180138530287991,0.01,10,poly,"{'C': 0.01, 'gamma': 10, 'kernel': 'poly'}",1.0,1.0,1.0,0.95,1.0,1.0,0.9,1.0,1.0,1.0,0.985,0.03201562118716425,1
0.026661133766174315,0.0012376423743634428,0.002102351188659668,0.0003721840703263397,0.01,1,rbf,"{'C': 0.01, 'gamma': 1, 'kernel': 'rbf'}",1.0,1.0,1.0,0.95,1.0,1.0,0.9,1.0,1.0,1.0,0.985,0.03201562118716425,1
0.00616610050201416,0.0008780767515542785,0.0010528564453125,0.0004177506635432886,0.1,0.001,linear,"{'C': 0.1, 'gamma': 0.001, 'kernel': 'linear'}",1.0,1.0,1.0,0.95,1.0,1.0,0.9,1.0,1.0,1.0,0.985,0.03201562118716425,1
0.006121492385864258,0.000894371434467357,0.0007473468780517578,0.0003404166187724129,0.1,0.01,linear,"{'C': 0.1, 'gamma': 0.01, 'kernel': 'linear'}",1.0,1.0,1.0,0.95,1.0,1.0,0.9,1.0,1.0,1.0,0.985,0.03201562118716425,1
0.00621335506439209,0.0011851709679163661,0.0016514062881469727,0.002151167720757225,0.1,0.0001,linear,"{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}",1.0,1.0,1.0,0.95,1.0,1.0,0.9,1.0,1.0,1.0,0.985,0.03201562118716425,1
0.0037567853927612306,0.0013335311609909686,0.0008028030395507812,0.0004584996545582769,100.0,1,linear,"{'C': 100, 'gamma': 1, 'kernel': 'linear'}",1.0,1.0,1.0,0.95,1.0,1.0,0.9,1.0,1.0,1.0,0.985,0.03201562118716425,1
0.004406142234802246,0.001287307355102234,0.0009021759033203125,0.0003725049774034552,100.0,0.1,poly,"{'C': 100, 'gamma': 0.1, 'kernel': 'poly'}",1.0,1.0,1.0,0.95,1.0,1.0,0.9,1.0,1.0,1.0,0.985,0.03201562118716425,1
0.004008936882019043,0.0015174050588891192,0.000949692726135254,0.0004188097847819169,100.0,0.1,linear,"{'C': 100, 'gamma': 0.1, 'kernel': 'linear'}",1.0,1.0,1.0,0.95,1.0,1.0,0.9,1.0,1.0,1.0,0.985,0.03201562118716425,1
0.007958292961120605,0.0007720591105669563,0.0010574579238891602,0.00047349562516281333,100.0,0.01,rbf,"{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}",1.0,1.0,1.0,0.95,1.0,1.0,0.9,1.0,1.0,1.0,0.985,0.03201562118716425,1
