mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0.0034629106521606445,0.0006516025849600571,0.000948643684387207,0.0005679069943308791,0.00025,4.0,poly,"{'C': 0.00025, 'gamma': 4.0, 'kernel': 'poly'}",1.0,1.0,1.0,0.95,1.0,1.0,0.9,1.0,1.0,1.0,0.985,0.03201562118716425,1
0.007390379905700684,0.0008025117753991065,0.0011052370071411132,0.000546637589704406,0.0005,1.0,poly,"{'C': 0.0005, 'gamma': 1.0, 'kernel': 'poly'}",1.0,1.0,1.0,0.95,1.0,1.0,0.9,1.0,1.0,1.0,0.985,0.03201562118716425,1
0.004869771003723144,0.000830515616617038,0.0010398626327514648,0.00047373583584005573,0.00025,2.0,poly,"{'C': 0.00025, 'gamma': 2.0, 'kernel': 'poly'}",1.0,1.0,1.0,0.95,1.0,1.0,0.9,1.0,1.0,1.0,0.985,0.03201562118716425,1
0.004078507423400879,0.0006736185580089069,0.0010009527206420899,0.00038875296873194814,0.0005,2.0,poly,"{'C': 0.0005, 'gamma': 2.0, 'kernel': 'poly'}",1.0,1.0,1.0,0.95,1.0,1.0,0.9,1.0,1.0,1.0,0.985,0.03201562118716425,1
0.007145309448242187,0.0016647316447139316,0.0011577129364013672,0.00032509038674958683,0.004,0.5,poly,"{'C': 0.004, 'gamma': 0.5, 'kernel': 'poly'}",1.0,1.0,1.0,0.95,1.0,1.0,0.9,1.0,1.0,1.0,0.985,0.03201562118716425,1
0.004222893714904785,0.00045567270208409004,0.0009858131408691407,0.00025912209984847154,0.004,2.0,poly,"{'C': 0.004, 'gamma': 2.0, 'kernel': 'poly'}",1.0,1.0,1.0,0.95,1.0,1.0,0.9,1.0,1.0,1.0,0.985,0.03201562118716425,1
0.0036065101623535155,0.0005409583984918224,0.0010522365570068359,0.0001515449029974709,0.001,2.0,poly,"{'C': 0.001, 'gamma': 2.0, 'kernel': 'poly'}",1.0,1.0,1.0,0.95,1.0,1.0,0.9,1.0,1.0,1.0,0.985,0.03201562118716425,1
0.006160140037536621,0.0005032289743738562,0.0009536504745483399,0.0002690524763223339,0.001,1.0,poly,"{'C': 0.001, 'gamma': 1.0, 'kernel': 'poly'}",1.0,1.0,1.0,0.95,1.0,1.0,0.9,1.0,1.0,1.0,0.985,0.03201562118716425,1
0.003961348533630371,0.0006555049338856429,0.0009052038192749023,0.0006702928702630617,0.0005,4.0,poly,"{'C': 0.0005, 'gamma': 4.0, 'kernel': 'poly'}",1.0,1.0,1.0,0.95,1.0,1.0,0.9,1.0,1.0,1.0,0.985,0.03201562118716425,1
0.003596997261047363,0.0005025136966803642,0.001063084602355957,0.00015020213239845821,0.002,2.0,poly,"{'C': 0.002, 'gamma': 2.0, 'kernel': 'poly'}",1.0,1.0,1.0,0.95,1.0,1.0,0.9,1.0,1.0,1.0,0.985,0.03201562118716425,1
